symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
0,4.579852378003801,163.4,4.174387269895637,54.5,2010,4.532599493153256,2.91,3.41,2.322387720290225,4.343805421853684,6000,30,34,7295.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,157.1,4.1728476237100445,58.3,2024,4.532599493153256,2.92,3.41,2.322387720290225,4.343805421853684,6000,30,34,7295.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,167.5,4.192680462942962,53.3,2236,4.709530201312334,3.15,3.58,2.302585092994046,4.465908118654584,5800,27,33,7895.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,167.5,4.192680462942962,53.3,2289,4.709530201312334,3.15,3.58,2.302585092994046,4.465908118654584,5800,27,33,9095.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,175.4,4.192680462942962,54.1,2304,4.709530201312334,3.15,3.58,2.302585092994046,4.465908118654584,5800,27,33,8845.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,175.4,4.151039905898646,54.1,2372,4.709530201312334,3.15,3.58,2.302585092994046,4.465908118654584,5800,27,33,10295.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.579852378003801,175.4,4.192680462942962,54.1,2465,4.709530201312334,3.15,3.58,2.302585092994046,4.624972813284271,5800,24,28,12945.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,4.579852378003801,169.1,4.204692619390966,51.0,2293,4.709530201312334,3.15,3.58,2.312535423847214,4.61512051684126,5500,25,31,10345.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.557029810660157,170.7,4.139955073474153,53.5,2337,4.718498871295094,3.31,3.23,2.2512917986064953,4.3694478524670215,4800,24,29,6785.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,155.9,4.168214410788556,52.0,1874,4.51085950651685,3.03,3.11,2.3608540011180215,4.2626798770413155,5400,38,43,8916.5,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.5591262474866845,155.9,4.168214410788556,52.0,1909,4.51085950651685,3.03,3.11,2.3608540011180215,4.2626798770413155,5400,38,43,8916.5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,4.574710978503383,172.6,4.192680462942962,51.4,2734,4.787491742782046,3.43,3.23,2.322387720290225,4.51085950651685,5000,24,29,11048.0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,4.736198448394496,199.6,4.257030144499196,52.8,4066,5.556828061699537,3.63,4.17,2.2082744135228043,5.176149732573829,4750,15,19,32250.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.736198448394496,199.6,4.257030144499196,52.8,4066,5.556828061699537,3.63,4.17,2.2082744135228043,5.176149732573829,4750,15,19,35550.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4.634728988229636,191.7,4.2710950739666,47.8,3950,5.7899601708972535,3.54,2.76,2.5257286443082556,5.572154032177765,5000,13,17,36000.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,4.544358046591334,159.1,4.177459468932607,54.1,1890,4.5217885770490405,3.03,3.15,2.302585092994046,4.23410650459726,5000,30,31,5195.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.544358046591334,159.1,4.177459468932607,54.1,1900,4.5217885770490405,3.03,3.15,2.302585092994046,4.23410650459726,5000,31,38,6095.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.544358046591334,159.1,4.177459468932607,54.1,1905,4.5217885770490405,3.03,3.15,2.302585092994046,4.23410650459726,5000,31,38,6795.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.544358046591334,166.8,4.177459468932607,54.1,1945,4.5217885770490405,3.03,3.15,2.302585092994046,4.23410650459726,5000,31,38,6695.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.544358046591334,166.8,4.177459468932607,54.1,1950,4.5217885770490405,3.08,3.15,2.302585092994046,4.23410650459726,5000,31,38,7395.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,4.56746831880408,169.0,4.200204952921578,49.6,2380,4.2626798770413155,3.33,3.255,2.341805806147327,4.624972813284271,6000,17,23,10945.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
3,4.56746831880408,169.0,4.200204952921578,49.6,2380,4.2626798770413155,3.33,3.255,2.341805806147327,4.624972813284271,6000,17,23,11845.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
3,4.56746831880408,169.0,4.200204952921578,49.6,2385,4.2626798770413155,3.33,3.255,2.341805806147327,4.624972813284271,6000,17,23,13645.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
3,4.56746831880408,169.0,4.200204952921578,49.6,2500,4.394449154672439,3.33,3.255,2.341805806147327,4.912654885736052,6000,16,23,15645.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,4.603168183317418,177.8,4.212127597878484,53.7,2385,4.812184355372417,3.39,3.39,2.2617630984737906,4.442651256490317,4800,26,32,8845.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.603168183317418,177.8,4.212127597878484,55.5,2410,4.812184355372417,3.39,3.39,2.2617630984737906,4.442651256490317,4800,26,32,8495.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.603168183317418,177.8,4.212127597878484,53.7,2385,4.812184355372417,3.39,3.39,2.2617630984737906,4.442651256490317,4800,26,32,10595.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.603168183317418,177.8,4.212127597878484,55.5,2410,4.812184355372417,3.39,3.39,2.2617630984737906,4.442651256490317,4800,26,32,10245.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.603168183317418,177.8,4.212127597878484,55.5,2443,4.812184355372417,3.39,3.39,3.1654750481410856,4.174387269895637,4650,36,42,10795.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,4.603168183317418,177.8,4.212127597878484,55.5,2425,4.812184355372417,3.39,3.39,2.2617630984737906,4.442651256490317,4800,26,32,11245.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.662495252607361,175.0,4.206184043977636,54.4,2670,4.948759890378168,3.76,3.16,2.1972245773362196,4.795790545596741,5000,19,27,18280.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,4.662495252607361,175.0,4.206184043977636,54.4,2700,4.90527477843843,3.43,3.64,3.1354942159291497,4.290459441148391,4200,31,39,18344.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-1,4.709530201312334,190.9,4.26689632742025,56.5,3515,5.214935757608986,3.58,3.64,3.1135153092103742,4.820281565605037,4350,22,25,25552.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,4.709530201312334,190.9,4.26689632742025,58.7,3750,5.214935757608986,3.58,3.64,3.1135153092103742,4.820281565605037,4350,22,25,28248.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,4.679349584162343,187.5,4.26689632742025,54.9,3495,5.214935757608986,3.58,3.64,3.1135153092103742,4.820281565605037,4350,22,25,28176.0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,4.758749273916392,202.6,4.286341384539473,56.3,3770,5.214935757608986,3.58,3.64,3.1135153092103742,4.820281565605037,4350,22,25,31600.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-1,4.758749273916392,202.6,4.286341384539473,56.5,3740,5.459585514144159,3.46,3.1,2.2300144001592104,5.049856007249537,4750,16,18,34184.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4.580877493419047,180.3,4.269697449699962,50.8,3685,5.459585514144159,3.46,3.1,2.2300144001592104,5.049856007249537,4750,16,18,35056.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4.803201036487226,208.1,4.286341384539473,56.7,3900,5.733341276897746,3.8,3.35,2.1972245773362196,5.220355825078324,4500,14,16,40960.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4.727387818712341,199.2,4.290459441148391,55.4,3715,5.720311776607412,3.8,3.35,2.1972245773362196,5.220355825078324,4500,14,16,45400.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4.641502115235482,178.4,4.23410650459726,54.8,2910,4.948759890378168,3.78,3.12,2.1972245773362196,5.170483995038151,5000,19,24,16503.0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,4.550714000192032,157.3,4.180522258463153,50.8,1918,4.532599493153256,2.97,3.23,2.341805806147327,4.23410650459726,5500,37,41,5389.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,4.550714000192032,157.3,4.180522258463153,50.8,1944,4.532599493153256,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,6189.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,4.550714000192032,157.3,4.180522258463153,50.8,2004,4.532599493153256,2.97,3.23,2.341805806147327,4.23410650459726,5500,31,38,6669.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.543294782270004,157.3,4.1713056033582285,50.8,2145,4.59511985013459,3.03,3.39,2.151762203259462,4.634728988229636,5500,24,30,7689.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,4.577798989191959,173.0,4.1956970564823886,49.4,2370,4.709530201312334,3.17,3.46,2.1400661634962708,4.762173934797756,5500,23,30,9959.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,4.577798989191959,173.0,4.1956970564823886,49.4,2328,4.812184355372417,3.35,3.46,2.2512917986064953,4.48863636973214,5000,25,32,8499.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,4.5736795188967205,173.2,4.209160236650682,50.2,2833,5.056245805348308,3.58,3.86,2.0794415416798357,4.983606621708336,5000,19,24,12629.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,4.5736795188967205,173.2,4.209160236650682,50.2,2921,5.056245805348308,3.59,3.86,2.0794415416798357,4.983606621708336,5000,19,24,14869.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,4.5736795188967205,173.2,4.209160236650682,50.2,2926,5.056245805348308,3.59,3.86,2.0794415416798357,4.983606621708336,5000,19,24,14489.0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,4.577798989191959,172.4,4.1956970564823886,51.6,2365,4.812184355372417,3.35,3.46,2.2512917986064953,4.48863636973214,5000,25,32,6989.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.577798989191959,172.4,4.1956970564823886,51.6,2405,4.812184355372417,3.35,3.46,2.2512917986064953,4.48863636973214,5000,25,32,8189.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.577798989191959,172.4,4.1956970564823886,51.6,2403,4.709530201312334,3.17,3.46,2.1400661634962708,4.762173934797756,5500,23,30,9279.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1,4.577798989191959,172.4,4.1956970564823886,51.6,2403,4.709530201312334,3.17,3.46,2.1400661634962708,4.762173934797756,5500,23,30,9279.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,1889,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,5499.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,2017,4.6443908991413725,2.99,3.47,3.131136910560194,4.02535169073515,4800,45,50,7099.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,1918,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,6649.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,1938,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,6849.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,170.2,4.1713056033582285,53.5,2024,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,7349.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,1951,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,7299.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,165.6,4.1713056033582285,53.3,2028,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,7799.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,165.3,4.1713056033582285,54.5,1971,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,7499.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.5591262474866845,170.2,4.1713056033582285,53.5,2037,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,7999.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,4.565389315976247,162.4,4.1713056033582285,53.3,2008,4.584967478670572,3.15,3.29,2.341805806147327,4.248495242049359,5200,31,37,8249.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,4.58700621536042,173.4,4.192680462942962,54.7,2324,4.795790545596741,3.33,3.47,2.2512917986064953,4.584967478670572,5200,27,34,8949.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
